"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2016","7,948.93","7,974.71","8,047.40","7,948.72","88.60M","-0.32%"
"09/26/2016","7,974.84","7,905.02","7,976.40","7,905.01","100.93M","0.89%"
"09/25/2016","7,904.53","7,918.95","7,934.62","7,904.53","57.93M","-0.12%"
"09/22/2016","7,913.94","7,938.92","7,938.92","7,900.96","102.59M","-0.30%"
"09/21/2016","7,937.79","8,048.69","8,064.61","7,937.79","132.02M","-1.38%"
"09/20/2016","8,048.69","7,984.48","8,057.07","7,984.48","107.06M","0.94%"
"09/19/2016","7,974.12","7,916.50","7,974.12","7,916.06","113.17M","0.73%"
"09/18/2016","7,916.41","7,978.13","7,994.12","7,916.41","81.13M","-0.79%"
"09/15/2016","7,979.25","8,132.75","8,134.57","7,979.25","112.19M","-1.89%"
"09/14/2016","8,132.75","8,189.70","8,189.70","8,132.75","55.93M","-0.68%"
"09/08/2016","8,188.20","8,145.27","8,194.48","8,145.06","82.79M","0.52%"
"09/07/2016","8,146.10","8,202.43","8,202.43","8,146.10","69.08M","-0.69%"
"09/06/2016","8,202.43","8,270.39","8,270.39","8,202.43","94.31M","-0.83%"
"09/05/2016","8,270.76","8,243.74","8,314.58","8,243.74","102.43M","0.36%"
"09/04/2016","8,241.16","8,137.46","8,241.16","8,128.42","86.82M","1.29%"
"09/01/2016","8,136.44","8,158.04","8,158.04","8,130.40","76.15M","-0.26%"
"08/31/2016","8,158.04","8,119.45","8,202.12","8,119.45","145.66M","0.96%"
"08/30/2016","8,080.81","8,032.43","8,081.53","8,028.06","116.38M","0.60%"
"08/29/2016","8,032.43","8,054.35","8,108.09","8,032.43","103.17M","-0.25%"
"08/28/2016","8,052.23","8,126.89","8,126.89","8,051.77","68.57M","-0.97%"
"08/25/2016","8,131.49","8,222.48","8,223.06","8,131.49","112.30M","-1.13%"
"08/24/2016","8,224.33","8,186.59","8,239.10","8,185.32","138.88M","0.46%"
"08/23/2016","8,186.70","8,247.28","8,247.28","8,174.64","103.11M","-0.73%"
"08/22/2016","8,246.90","8,353.27","8,405.99","8,246.90","197.85M","-1.26%"
"08/21/2016","8,352.27","8,316.41","8,353.65","8,309.27","104.35M","0.42%"
"08/18/2016","8,317.17","8,349.03","8,428.17","8,317.17","160.40M","-0.36%"
"08/17/2016","8,347.38","8,387.46","8,387.46","8,277.15","204.13M","-0.48%"
"08/16/2016","8,387.49","8,452.79","8,481.13","8,386.73","200.45M","-0.78%"
"08/15/2016","8,453.53","8,357.02","8,475.83","8,357.02","217.68M","1.23%"
"08/14/2016","8,351.07","8,377.71","8,377.71","8,285.01","259.83M","-0.32%"
"08/11/2016","8,377.71","8,295.93","8,388.07","8,294.94","326.52M","1.04%"
"08/10/2016","8,291.51","8,210.26","8,291.51","8,204.14","368.45M","1.12%"
"08/09/2016","8,199.65","8,278.98","8,280.14","8,196.51","497.23M","-0.89%"
"08/08/2016","8,273.14","8,229.99","8,298.11","8,229.99","386.10M","0.60%"
"08/07/2016","8,223.46","8,249.78","8,250.88","8,196.27","217.59M","-0.39%"
"08/04/2016","8,255.36","8,117.99","8,263.68","8,117.99","375.94M","1.86%"
"08/03/2016","8,104.57","7,983.58","8,104.82","7,983.58","226.83M","1.64%"
"08/02/2016","7,973.45","7,938.81","7,980.29","7,938.81","133.93M","0.55%"
"08/01/2016","7,930.14","7,983.15","7,998.16","7,915.85","141.18M","-0.66%"
